Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00     31.13     0.00       18     0.00     0.00  void std::vector<Vector, std::allocator<Vector> >::_M_realloc_insert<Vector>(__gnu_cxx::__normal_iterator<Vector*, std::vector<Vector, std::allocator<Vector> > >, Vector&&)
  0.00     31.13     0.00       11     0.00     0.00  void std::vector<std::complex<double>, std::allocator<std::complex<double> > >::_M_realloc_insert<std::complex<double> const&>(__gnu_cxx::__normal_iterator<std::complex<double>*, std::vector<std::complex<double>, std::allocator<std::complex<double> > > >, std::complex<double> const&)
  0.00     31.13     0.00        3     0.00     0.00  __gnu_cxx::new_allocator<std::complex<double> >::new_allocator()
  0.00     31.13     0.00        3     0.00     0.00  __gnu_cxx::new_allocator<std::complex<double> >::~new_allocator()
  0.00     31.13     0.00        3     0.00     0.00  std::allocator<std::complex<double> >::allocator()
  0.00     31.13     0.00        3     0.00     0.00  std::allocator<std::complex<double> >::~allocator()
  0.00     31.13     0.00        3     0.00     0.00  std::_Vector_base<std::complex<double>, std::allocator<std::complex<double> > >::_Vector_impl::_Vector_impl()
  0.00     31.13     0.00        3     0.00     0.00  std::_Vector_base<std::complex<double>, std::allocator<std::complex<double> > >::_Vector_impl::~_Vector_impl()
  0.00     31.13     0.00        3     0.00     0.00  std::_Vector_base<std::complex<double>, std::allocator<std::complex<double> > >::_Vector_base()
  0.00     31.13     0.00        3     0.00     0.00  std::_Vector_base<std::complex<double>, std::allocator<std::complex<double> > >::~_Vector_base()
  0.00     31.13     0.00        3     0.00     0.00  std::vector<std::complex<double>, std::allocator<std::complex<double> > >::vector()
  0.00     31.13     0.00        3     0.00     0.00  std::vector<std::complex<double>, std::allocator<std::complex<double> > >::~vector()
  0.00     31.13     0.00        2     0.00     0.00  tbb::tick_count::now()
  0.00     31.13     0.00        2     0.00     0.00  tbb::tick_count::tick_count()
  0.00     31.13     0.00        2     0.00     0.00  void __gnu_cxx::new_allocator<Vector>::construct<Vector, Vector const&>(Vector*, Vector const&)
  0.00     31.13     0.00        2     0.00     0.00  __gnu_cxx::new_allocator<Vector>::new_allocator()
  0.00     31.13     0.00        2     0.00     0.00  __gnu_cxx::new_allocator<Vector>::~new_allocator()
  0.00     31.13     0.00        2     0.00     0.00  std::allocator<Vector>::allocator()
  0.00     31.13     0.00        2     0.00     0.00  std::allocator<Vector>::~allocator()
  0.00     31.13     0.00        2     0.00     0.00  std::_Vector_base<Vector, std::allocator<Vector> >::_Vector_impl::_Vector_impl()
  0.00     31.13     0.00        2     0.00     0.00  std::_Vector_base<Vector, std::allocator<Vector> >::_Vector_impl::~_Vector_impl()
  0.00     31.13     0.00        2     0.00     0.00  std::_Vector_base<Vector, std::allocator<Vector> >::_Vector_base()
  0.00     31.13     0.00        2     0.00     0.00  std::_Vector_base<Vector, std::allocator<Vector> >::~_Vector_base()
  0.00     31.13     0.00        2     0.00     0.00  void std::allocator_traits<std::allocator<Vector> >::construct<Vector, Vector const&>(std::allocator<Vector>&, Vector*, Vector const&)
  0.00     31.13     0.00        2     0.00     0.00  void std::vector<Vector, std::allocator<Vector> >::_M_realloc_insert<Vector const&>(__gnu_cxx::__normal_iterator<Vector*, std::vector<Vector, std::allocator<Vector> > >, Vector const&)
  0.00     31.13     0.00        2     0.00     0.00  std::vector<Vector, std::allocator<Vector> >::push_back(Vector const&)
  0.00     31.13     0.00        2     0.00     0.00  std::vector<Vector, std::allocator<Vector> >::vector()
  0.00     31.13     0.00        2     0.00     0.00  std::vector<Vector, std::allocator<Vector> >::~vector()
  0.00     31.13     0.00        1     0.00     0.00  _GLOBAL__sub_I__ZN8BICGSTAB5SolveERK6MatrixR6VectorRKS3_
  0.00     31.13     0.00        1     0.00     0.00  _GLOBAL__sub_I_main
  0.00     31.13     0.00        1     0.00     0.00  __static_initialization_and_destruction_0(int, int)
  0.00     31.13     0.00        1     0.00     0.00  __static_initialization_and_destruction_0(int, int)
  0.00     31.13     0.00        1     0.00     0.00  tbb::tick_count::interval_t::ticks_per_second()
  0.00     31.13     0.00        1     0.00     0.00  tbb::tick_count::interval_t::interval_t(long long)
  0.00     31.13     0.00        1     0.00     0.00  tbb::tick_count::resolution()
  0.00     31.13     0.00        1     0.00     0.00  tbb::operator-(tbb::tick_count const&, tbb::tick_count const&)
  0.00     31.13     0.00        1     0.00     0.13  Matrix::Matrix(int)
  0.00     31.13     0.00        1     0.00    31.01  BICGSTAB::Solve(Matrix const&, Vector&, Vector const&)
  0.00     31.13     0.00        1     0.00     0.00  BICGSTAB::BICGSTAB(int, double)
  0.00     31.13     0.00        1     0.00     0.00  tbb::tick_count::interval_t::seconds() const

 %         the percentage of the total running time of the
time       program used by this function.

cumulative a running sum of the number of seconds accounted
 seconds   for by this function and those listed above it.

 self      the number of seconds accounted for by this
seconds    function alone.  This is the major sort for this
           listing.

calls      the number of times this function was invoked, if
           this function is profiled, else blank.
 
 self      the average number of milliseconds spent in this
ms/call    function per call, if this function is profiled,
	   else blank.

 total     the average number of milliseconds spent in this
ms/call    function and its descendents per call, if this 
	   function is profiled, else blank.

name       the name of the function.  This is the minor sort
           for this listing. The index shows the location of
	   the function in the gprof listing. If the index is
	   in parenthesis it shows where it would appear in
	   the gprof listing if it were to be printed.

Copyright (C) 2012-2014 Free Software Foundation, Inc.

Copying and distribution of this file, with or without modification,
are permitted in any medium without royalty provided the copyright
notice and this notice are preserved.

		     Call graph (explanation follows)


granularity: each sample hit covers 2 byte(s) for 0.03% of 31.13 seconds

index % time    self  children    called     name
                                                 <spontaneous>
[1]    100.0    0.00   31.13                 main [1]
                0.00   31.01       1/1           BICGSTAB::Solve(Matrix const&, Vector&, Vector const&) [2]
                0.00    0.13       1/1           Matrix::Matrix(int) [17]
                0.00    0.00       2/865         Vector::Vector(int) [16]
                0.00    0.00     885/689729175     Vector::operator[](int) const [9]
                0.00    0.00  783225/783225      Matrix::operator[](int) const [48]
                0.00    0.00     887/1011        std::vector<std::complex<double>, std::allocator<std::complex<double> > >::size() const [66]
                0.00    0.00     885/885         std::vector<std::complex<double>, std::allocator<std::complex<double> > >::push_back(std::complex<double> const&) [69]
                0.00    0.00     885/3895        std::vector<std::complex<double>, std::allocator<std::complex<double> > >::operator[](unsigned long) [53]
                0.00    0.00       2/2           tbb::tick_count::now() [137]
                0.00    0.00       2/7911        Vector::~Vector() [49]
                0.00    0.00       1/1           BICGSTAB::BICGSTAB(int, double) [157]
                0.00    0.00       1/3           std::vector<std::complex<double>, std::allocator<std::complex<double> > >::vector() [135]
                0.00    0.00       1/1           tbb::operator-(tbb::tick_count const&, tbb::tick_count const&) [156]
                0.00    0.00       1/1           tbb::tick_count::interval_t::seconds() const [158]
                0.00    0.00       1/3           std::vector<std::complex<double>, std::allocator<std::complex<double> > >::~vector() [136]
-----------------------------------------------
                0.00   31.01       1/1           main [1]
[2]     99.6    0.00   31.01       1         BICGSTAB::Solve(Matrix const&, Vector&, Vector const&) [2]
                3.78   26.41     861/861         Matrix::operator*(Vector const&) const [3]
                0.11    0.20    1720/1720        std::complex<double> std::operator/<double>(std::complex<double> const&, std::complex<double> const&) [10]
                0.00    0.22    2580/2580        operator*(std::complex<double> const&, Vector const&) [12]
                0.01    0.07    1720/1720        Vector::InnerProduct(Vector const&) const [19]
                0.00    0.07    1290/1290        Vector::operator+(Vector const&) const [20]
                0.00    0.06     860/860         std::vector<Vector, std::allocator<Vector> >::push_back(Vector&&) [22]
                0.00    0.06    1291/1291        Vector::operator-(Vector const&) const [23]
                0.00    0.02     860/860         Vector::Norm() const [34]
                0.00    0.00       2/2           std::vector<Vector, std::allocator<Vector> >::push_back(Vector const&) [38]
                0.00    0.00       2/865         Vector::Vector(int) [16]
                0.00    0.00       1/7046        Vector::Vector(Vector const&) [11]
                0.00    0.00     430/675879355     std::complex<double> std::operator*<double>(std::complex<double> const&, std::complex<double> const&) [4]
                0.00    0.00       2/7784462     std::complex<double>::complex(double, double) [14]
                0.00    0.00       1/2287603     Vector::Size() const [18]
                0.00    0.00    6025/7911        Vector::~Vector() [49]
